	Address
3365379400400	0.02365559
3365379400401	0.023668375
3365379400402	0.023681773
3365379400403	0.023695925
3365379400404	0.023713334
3365379400405	0.023727063
3365379400406	0.023745792
3365379400407	0.023759522
3365379400408	0.023772731
3365379400409	0.023787497
3365379400410	0.023796508
3365379400411	0.023811229
3365379400412	0.023820238
3365379400413	0.023833448
3365379400414	0.023847979
3365379400415	0.02385699
3365379400416	0.0238702
3365379400417	0.023880249
3365379400418	0.023893459
3365379400419	0.023906149
3365379400420	0.023916718
3365379400421	0.023929927
3365379400422	0.023941673
3365379400423	0.023954883
3365379400424	0.023967573
3365379400425	0.023977764
3365379400426	0.023990974
3365379400427	0.023999985
3365379400428	0.024015035
3365379400429	0.024027726
3365379400430	0.024036737
3365379400431	0.024049994
3365379400432	0.024059523
3365379400433	0.024072308
3365379400434	0.02408613
3365379400435	0.024095662
3365379400436	0.02411038
3365379400437	0.02411991
3365379400438	0.024132695
3365379400439	0.024146803
3365379400440	0.024156332
3365379400441	0.024169117
3365379400442	0.02418077
3365379400443	0.024193555
3365379400444	0.024207473
3365379400445	0.024217002
3365379400446	0.024229787
3365379400447	0.024240874
3365379400448	0.024258802
3365379400449	0.024271775
3365379400450	0.02428357
3365379400451	0.024296355
3365379400452	0.024305884
3365379400453	0.024319801
3365379400454	0.024332777
3365379400455	0.024344854
3365379400456	0.02435764
3365379400457	0.024367169
3365379400458	0.024380896
1592635379292	0.02439859
3365379400459	0.02440774
3365379400460	0.024423216
3365379400461	0.024435764
3365379400462	0.024444776
3365379400463	0.024459306
3365379400464	0.024472045
3365379400465	0.024481054
3365379400466	0.024494737
3365379400467	0.024495114
3365379400468	0.024507899
3365379400469	0.02452262
3365379400470	0.024532149
3365379400471	0.024544934
3365379400472	0.024554983
3365379400473	0.024567768
3365379400474	0.024580741
3365379400475	0.024591357
3365379400476	0.024604142
3365379400477	0.024616407
3365379400478	0.024629192
3365379400479	0.024642166
3365379400480	0.024652876
3365379400481	0.024665661
3365379400482	0.02467519
3365379400483	0.024689721
3365379400484	0.024702696
3365379400485	0.024712225
3365379400486	0.024725057
3365379400487	0.024734586
